Classification;Classification;Classification;Classification;Classification;Classification;Classification;Classification;Classification;Classification;Classification;Classification;Classification;Classification;Classification;Max Capacity (Pilot&Passenger);;;;Speed:Size Ratio;;Usage (not purpose);Usual Size (m) ;Example;;Lorem
Group;Super type;Type;flight and control Station;wing;docking port;CIC;engine deck;Astrogation deck;lobby (life support) deck;sickbay deck;emergency deck;cargo hold;hangar bay;Artificial Gravity;People;Strikecraft/Tank;Cargo ship;Light Capital;;;;;Real Life;Pop Culture;
Spacecrafts;Lightcrafts;Aircrafts;CP;2;1;0;0;0;0;0;SE;0;0;0;2;0;0;0;1;2;public and personal;;tets;;
Spacecrafts;Lightcrafts;Fighters;CP;2;1;0;0;0;0;0;SE;0;0;0;1;0;0;0;2;1;;;;;
Spacecrafts;Lightcrafts;Attackers;CP;2;1;0;0;0;0;0;SE;0;0;0;2;0;0;0;1;2;;;;;
Spacecrafts;Lightcrafts;Dropcrafts;CP;2;1;0;0;0;0;0;SE;0;0;0;8;0;0;0;1;2;;;;;
Spacecrafts;Gunships;Gunboats;CP;2;1;0;0;0;0;0;SE;0;0;1;16;1;0;0;2;1;;;;Low Altitude Assault Transport;
Spacecrafts;Gunships;Vessels;CP;1;1;0;0;0;0;0;1;0;0;1;30;1;0;0;1;1;;;;;
Spacecrafts;Transports;Shuttles;CP;1;1;0;0;1;0;0;1;0;0;1;20;0;0;0;2;3;military and scientific;;;;
Spacecrafts;Transports;Yacths;CP;1;1;0;0;1;1;0;1;0;0;1;30;0;0;0;1;3;royal;;;;
Spacecrafts;Transports;Shepherds;CP;1;1;0;0;1;1;0;1;1;0;1;40;0;0;0;1;3;rural;;;;
Spacecrafts;Cargo ships;Freighters;CP;1;1;0;1;0;1;0;1;2;1;1;40;1;0;0;1;2;;;;;
Spaceships;Cargo ships;Cargoships;CD;1;2;0;1;1;2;1;1;6;2;1;70;2;0;0;1;4;;;;;
Spaceships;Construction ships;Wardens!;CD;1;2;0;1;1;1;1;1;1;1;1;30;1;0;0;2;1;fast respond and ship maintenance;;;;
Spaceships;Construction ships;Foundrels!;CD;1;2;0;1;1;1;1;1;6;2;1;180;4;1;0;1;4;building and mining;;;;
Spaceships;Light Capitals;Corvettes;CD;1;3;1;2;2;1;2;1;;;1;400;2;1;0;2;1;;;;;
Spaceships;Light Capitals;?;CD;1;?;1;2;2;1;2;1;;;1; > 500 ;;;;;;;;;;
Spaceships;Light Capitals;Frigates;CD;1;6;1;2;2;1;2;1;;;1;1.700;4;2;0;1;3;;;;;
Spaceships;Light Carriers;Liners;CD;1;;1;2;2;2;2;1;;;1;4.000;;;;;;;;;;
Spaceships;Light Carriers;Ferries*;CD;1;;1;2;2;2;2;1;;;1;7.000;200;50;0;;;Commercial;;;;
Spaceships;Light Carriers;?;CD;1;;1;2;2;2;2;1;;;1; > 10.000 ; > 1.000 ;;;;;;;;;
Spaceships;Carriers;?;CD;0;;2;2;2;2;2;2;;;1; > 100.000 ; > 5.000 ;;;;;;;;;
Spaceships;Carriers;Carriers;CD;0;;2;2;2;2;2;2;;;1;200.000;10;1;0;2;1;;;;;
Spaceships;Carriers;?;CD;0;;2;2;2;2;2;2;;;1;200.000;30;2;0;1;1;;;;;
Spaceships;Capital ships;Cruisers;CD;0;;2;2;2;2;2;2;;;1;;;;1;2;1;;;;;
Spaceships;Capital ships;Flagships;CD;0;;2;2;2;2;2;2;;;1; Yes ; Yes ;;1;1;2;;;;;
Spaceships;Capital ships;Dreadnoughts;CD;0;;2;2;2;2;2;2;;;1; Yes ; Yes ; Yes ;10;1;5;;;;;
Space Semi Stationary;Mobile Stations;Satelites;CD;0;;0;0;0;0;0;2;;;0;;1;;;;;;;;;
Space Semi Stationary;Mobile Stations;?;CD;0;;1;1;1;1;1;2;;;1;;5;3;;;;;;;;
Space Semi Stationary;Stations;Ports?;CD;0;;1;1;1;1;1;2;;;1;;Yes;10;5;;;;;Oil rigs;;
Space Semi Stationary;Stations;Citadels;CD;0;;2;2;2;2;2;2;;;1; Yes ; Yes ; Yes ;20;;;;;;;
Space Semi Stationary;Stations;Stations;CD;0;;2;2;2;2;2;2;;;1; Yes ; Yes ; Yes ;40;;;;;;;
