"Classification";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Max Capacity (Pilot&Passenger)";"";"";"";"";"";"Definition";"";"Example";""
"Num";"Media";"Super type";"Type";"flight and control Station";"wing";"docking port";"CIC";"engine deck";"Astrogation deck";"lobby (life support) deck";"sickbay deck";"emergency deck";"cargo hold";"hangar bay";"Artificial Gravity";"People";"Strikecraft/Tank";"Cargo ship";"Light Capital";"Speed:Size Ratio";"";"Usage (not purpose)";"Usual Size (m)";"Real Life";"Pop Culture"
"4";"Spacecrafts";"Lightcrafts";"Aircrafts";"CP";"2";"1";"0";"0";"0";"0";"0";"SE";"0";"0";"0";"2";"0";"0";"0";"1";"2";"public and personal";"";"tets";""
"5";"Spacecrafts";"Lightcrafts";"Fighters";"CP";"2";"1";"0";"0";"0";"0";"0";"SE";"0";"0";"0";"1";"0";"0";"0";"2";"1";"";"";"";""
"6";"Spacecrafts";"Lightcrafts";"Attackers";"CP";"2";"1";"0";"0";"0";"0";"0";"SE";"0";"0";"0";"2";"0";"0";"0";"1";"2";"";"";"";""
"7";"Spacecrafts";"Lightcrafts";"Dropcrafts";"CP";"2";"1";"0";"0";"0";"0";"0";"SE";"0";"0";"0";"8";"0";"0";"0";"1";"2";"";"";"";""
"8";"Spacecrafts";"Gunships";"Gunboats";"CP";"2";"1";"0";"0";"0";"0";"0";"SE";"0";"0";"1";"16";"1";"0";"0";"2";"1";"";"";"";"Low Altitude Assault Transport"
"9";"Spacecrafts";"Gunships";"Vessels";"CP";"1";"1";"0";"0";"0";"0";"0";"1";"0";"0";"1";"30";"1";"0";"0";"1";"1";"";"";"";""
"10";"Spacecrafts";"Transports";"Shuttles";"CP";"1";"1";"0";"0";"1";"0";"0";"1";"0";"0";"1";"20";"0";"0";"0";"2";"3";"military and scientific";"";"";""
"11";"Spacecrafts";"Transports";"Yacths";"CP";"1";"1";"0";"0";"1";"1";"0";"1";"0";"0";"1";"30";"0";"0";"0";"1";"3";"royal";"";"";""
"12";"Spacecrafts";"Transports";"Shepherds";"CP";"1";"1";"0";"0";"1";"1";"0";"1";"1";"0";"1";"40";"0";"0";"0";"1";"3";"rural";"";"";""
"14";"Spacecrafts";"Cargo ships";"Freighters";"CP";"1";"1";"0";"1";"0";"1";"0";"1";"2";"1";"1";"40";"1";"0";"0";"1";"2";"";"";"";""
"15";"Spaceships";"Cargo ships";"Cargoships";"CD";"1";"2";"0";"1";"1";"2";"1";"1";"6";"2";"1";"70";"2";"0";"0";"1";"4";"";"";"";""
"13";"Spaceships";"Construction ships";"Wardens!";"CD";"1";"2";"0";"1";"1";"1";"1";"1";"1";"1";"1";"30";"1";"0";"0";"2";"1";"fast respond and ship maintenance";"";"";""
"16";"Spaceships";"Construction ships";"Foundrels!";"CD";"1";"2";"0";"1";"1";"1";"1";"1";"6";"2";"1";"180";"4";"1";"0";"1";"4";"building and mining";"";"";""
"17";"Spaceships";"Light Capitals";"Corvettes";"CD";"1";"3";"1";"2";"2";"1";"2";"1";"";"";"1";"400";"2";"1";"0";"2";"1";"";"";"";""
"18";"Spaceships";"Light Capitals";"?";"CD";"1";"?";"1";"2";"2";"1";"2";"1";"";"";"1";" > 500 ";"";"";"";"";"";"";"";"";""
"19";"Spaceships";"Light Capitals";"Frigates";"CD";"1";"6";"1";"2";"2";"1";"2";"1";"";"";"1";"1.700";"4";"2";"0";"1";"3";"";"";"";""
"20";"Spaceships";"Light Carriers";"Liners";"CD";"1";"";"1";"2";"2";"2";"2";"1";"";"";"1";"4.000";"";"";"";"";"";"";"";"";""
"21";"Spaceships";"Light Carriers";"Ferries*";"CD";"1";"";"1";"2";"2";"2";"2";"1";"";"";"1";"7.000";"200";"50";"0";"";"";"Commercial";"";"";""
"22";"Spaceships";"Light Carriers";"?";"CD";"1";"";"1";"2";"2";"2";"2";"1";"";"";"1";" > 10.000 ";" > 1.000 ";"";"";"";"";"";"";"";""
"23";"Spaceships";"Carriers";"?";"CD";"0";"";"2";"2";"2";"2";"2";"2";"";"";"1";" > 100.000 ";" > 5.000 ";"";"";"";"";"";"";"";""
"24";"Spaceships";"Carriers";"Carriers";"CD";"0";"";"2";"2";"2";"2";"2";"2";"";"";"1";"200.000";"10";"1";"0";"2";"1";"";"";"";""
"25";"Spaceships";"Carriers";"?";"CD";"0";"";"2";"2";"2";"2";"2";"2";"";"";"1";"200.000";"30";"2";"0";"1";"1";"";"";"";""
"27";"Spaceships";"Capital ships";"Cruisers";"CD";"0";"";"2";"2";"2";"2";"2";"2";"";"";"1";"";"";"";"1";"2";"1";"";"";"";""
"29";"Spaceships";"Capital ships";"Flagships";"CD";"0";"";"2";"2";"2";"2";"2";"2";"";"";"1";" Yes ";" Yes ";"";"1";"1";"2";"";"";"";""
"30";"Spaceships";"Capital ships";"Dreadnoughts";"CD";"0";"";"2";"2";"2";"2";"2";"2";"";"";"1";" Yes ";" Yes ";" Yes ";"10";"1";"5";"";"";"";""
"31";"Space Semi Stationary";"Mobile Stations";"Satelites";"CD";"0";"";"0";"0";"0";"0";"0";"2";"";"";"0";"";"1";"";"";"";"";"";"";"";""
"32";"Space Semi Stationary";"Mobile Stations";"?";"CD";"0";"";"1";"1";"1";"1";"1";"2";"";"";"1";"";"5";"3";"";"";"";"";"";"";""
"33";"Space Semi Stationary";"Stations";"Ports?";"CD";"0";"";"1";"1";"1";"1";"1";"2";"";"";"1";"";"Yes";"10";"5";"";"";"";"";"Oil rigs";""
"";"Space Semi Stationary";"Stations";"Citadels";"CD";"0";"";"2";"2";"2";"2";"2";"2";"";"";"1";" Yes ";" Yes ";" Yes ";"20";"";"";"";"";"";""
"34";"Space Semi Stationary";"Stations";"Stations";"CD";"0";"";"2";"2";"2";"2";"2";"2";"";"";"1";" Yes ";" Yes ";" Yes ";"40";"";"";"";"";""
