"Region","Wheel","","Cyclone","","","Eye","",""
"","","","","","","","",""
"","","","","","thick disc","","",""
"","","","","","thin disc","","",""
"","Disc","","Eyewall","","","","",""
"","","","Rain free","","","","Valley",""
"","spoke","Arm","Spiral rain band","","","","River","Arm vocabs"
"Cornea Region","Tire","","","","glublar cluster","Cornea","",""
"Outer Rim","Rim","","","Ring","","","","Outer circle layer"
"Mid Rim","","","","","","","",""
"Inner Rim","","","","","","","",""
"Ring Region","","","","","Bar","","",""
"Iris Region","","","Eye","","","Iris","",""
"Core Region","","","","","Bulge","","",""
"","","","","","","","",""
"","","Core","","","Nucleus","Pupil","Water spring","Center Vocabs"
"habzone start","","","","","","","",""
"habzone end","","","","","","","",""
