
"Group";"name";"social";"text";"contribution"
"2";"FrankLe …";"Discord";"- FrankLe … from Discord,";"for being a great discussion pal to resolve Astrocosmos astronomy problem!"
"2";"Drifa";"Discord";"- Drifa from Discord,";"for being a great discussion pal to resolve Astrocosmos astronomy problem!"
"2";"Apolar";"Discord";"- Apolar from Discord,";"for being a great discussion pal to resolve Astrocosmos astronomy problem!"
"3";"Celestia";"Discord";"- Celestia from Discord,";"for correcting the capacity of **Corvettes** in the ship classification"
"3";"Felix";"Instagram";"- Felix from Instagram,";""
"3";"Pan";"Discord";"- Pan from Discord,";"for brainstorming the idea of **Wardens** in the ship classification, and registering 'Capybara' vessel"
"3";"Zarpaulek";"Discord";"- Zarpaulek from Discord,";""
"3";"Matthew Fawks";"Discord";"- Matthew Fawks from Discord,";""
"3";"";"Discord";"";""
"3";"";"Discord";"";""
"3";"";"Discord";"";""
"4";"Caspy";"Discord";"- Caspy from Discord,";"for registering 'Aetheria' starcruiser"
"4";"Cirro";"Instagram";"- Cirro from Instagram,";"for registering 'Astra' yacth"
"4";"OxideXen";"Discord";"- OxideXen from Discord,";"for registering 'Oblivion Loom' mobile station and 'Vitreous Fang' light frigate"
"4";"Suya";"Discord";"- Suya from Discord,";"for registering 'Catfish' interceptor"
"1 for big science, idea, code, support, and tester contributions
2 for science contributions
3 for idea or code contribution
4 for tester or support contributions";"";"";"";""
