"Name","Strategy","?","Sim","Sandbox","TableTop","Reference"
"∆V: Rings of Saturn","","","","","",""
"Astrometica","","","","","",""
"Astroneer","","","","","",""
"Avorion","","","✅","","",""
"Battlefleet Gothic","","","","","",""
"Battlestar Galacctica","","","","","",""
"Children of a Dead Earth","","","","","",""
"Cosmoteer","","","","","",""
"Distant Worlds","✅","","","","",""
"Earth From Another Sun","","","","","",""
"Elite Dangerous","","","✅","","",""
"Emperor of the Fading Suns","✅","","","","",""
"Empyrion","","","✅","","",""
"Endless Space","✅","✅","","","",""
"Eve Online","","✅","","","",""
"Everspace","","","✅","","",""
"Evochron Legacy","","","✅","","",""
"Exodus","","","","","",""
"Final Theory","","","","","",""
"Galactic Ruler","✅","","","","",""
"G-Rebels","","","","","",""
"Homeworld Remastered","✅","","","","",""
"House of the Dying Sun","","","✅","","",""
"Interstellar Space","✅","","","","",""
"Jump Ship","","","","","",""
"Kerbal Space Program","","✅","✅","","",""
"Liberation","","✅","","","",""
"Mass Effect","","✅","","","",""
"Master of Orion","✅","","","","",""
"Miles From Tommorrowland","","","","","",""
"Nexus 5X","✅","","","","",""
"Nexus: The Jupiter Accident","","","","","",""
"No Man's Sky","","","✅","","",""
"Outer Wilds","","","✅","","",""
"Project Hail Mary","","","","","",""
"Pulsar","","","","","",""
"Rebel Galaxy","","","","","",""
"Shadow Empire","","","","","",""
"Sins of Solar Empire","","","","","",""
"Space Engine","","","✅","✅","",""
"Space Engineers","","","✅","","",""
"Space Haven","","","","","",""
"SpaceBourne","","","","","",""
"SpaceCraft","","","","","",""
"Star Citizen","","✅","✅","","",""
"Star Dynasties","✅","","","","",""
"Star General","","","","","",""
"Star Ruler","✅","","","","",""
"Star Sector","","✅","","","",""
"Star Traders","","✅","","","",""
"Star Trek","","","","","",""
"Star Trucker","","","✅","","",""
"Star Wars","✅","✅","✅","","","[Wookiepedia](https://starwars.fandom.com/wiki/Main_Page))"
"Starbase","","","✅","","",""
"Starcom","","✅","","","",""
"Starfield","","","✅","","",""
"Starminer","","","","","",""
"StarRupture","","","","","",""
"Stars in Shadow","✅","","","","",""
"Starsector","✅","","","","",""
"Stellar Monarch","✅","","","","",""
"Stellar Warfare","","","","","",""
"Stellaris","✅","","","","",""
"Sword of the Stars","✅","","","","",""
"Terra Invicta","✅","","","","",""
"Transcendence","","","","","",""
"Underspace","","","✅","","",""
"Universe Sandbox","","","","✅","",""
"Void Destroyer","","","✅","","",""
"X4 Foundations","","","✅","","",""
"Xerxes Shadow","","","","","",""
"Traveller","","","","","✅","Traveller"
